,,,,,,,,,,,
,Комбикорм,,,,,,,,,,
,Зерно,,,,,,,,,,
,Зоотовары,,,,,,,,,,
,Инкубатор,,,,,,,,,,
,Клетки,,,,,,,,,,
,Поилки,,,,,,,,,,
,Рассада,,,,,,,,,,
,Животные,,,,,,,,,,
,Производство,,,,,,,,,,
,Средства защиты,,,,,,,,,,
,,,,,,,,,,,
,В продажее поивились фейерверги,,,,,,,,,,
,Елки,,,,,,,,,,
,Гирлянды,,,,,,,,,,
, ,,,,,,,,,,
,,,,,,,,,,,
,Прайс-лист,,,,,,,,,,
,17 Мая 2016 г.,,,,,,,,,,
,,,,,,,,,,,
,Наименование товаров,Роничные,,,,,,,,,
,,(включая НДС и НП),,,Куры,Гуси утки,Перепела,Индейка,Свинья,"Крупно рогатый скот, козы овцы","Кролики,нутрии"
,"Вискас сух.д/кошек подушечки/паштет курица/утка/индейка 1,9кг.",366.00 руб,шт,1,,,,,,,
,Вискас сух.д/кошек подушечки/паштет курица/утка/индейка 350г,75.00 руб,шт,1,,,,,,,
,"Вискас сух.д/кошек подушечки/паштет лосось/тунец/креветки 1,9 кг",366.00 руб,шт,1,,,,,,,
,"Вискис сух.д/котят подушечки с молоком индейка/морковь 1,9 кг.",435.00 руб,шт,1,,,,,,,
,Вискис сух.д/котят подушечки с молоком индейка/морковь 350 г.,75.00 руб,шт,1,,,,,,,
,ДОГ ЛАНЧ кон.д/собак 760г.,95.00 руб,шт,1,,,,,,,
,Зоо няня Бентонити 5 кг,261.00 руб,шт,1,,,,,,,
,КИТИКЕТ ПАУЧ в ассортименте,19.00 руб,шт,1,,,,,,,
,КИТИКЕТ ПАУЧ д/кошек кролик в соусе 100г.,19.00 руб,шт,0,,,,,,,
,КИТИКЕТ ПАУЧ д/кошек курица в соусе 100г.,19.00 руб,шт,0,,,,,,,
,КИТИКЕТ ПАУЧ д/кошек рыба в соусе 100г.,19.00 руб,шт,0,,,,,,,
,"КИТИКЕТ сух.д/кошек ассорти 1,9кг.",280.00 руб,шт,1,,,,,,,
,КИТИКЕТ сух.д/кошек ассорти 1кг.,132.00 руб,шт,1,,,,,,,
,КИТИКЕТ сух.д/кошек ассорти 350г.,60.00 руб,шт,1,,,,,,,
,КИТИКЕТ сух.д/кошек ассорти 400г.,57.00 руб,шт,1,,,,,,,
,КИТИКЕТ сух.д/кошек ассорти 800г.,106.00 руб,шт,1,,,,,,,
,"КИТИКЕТ сух.д/кошек в ассортименте 2,2кг",275.00 руб,шт,1,,,,,,,
,"КУЗЯ наполнитель для котят впитывающий 4,5л 2,8кг",74.00 руб,шт,1,,,,,,,
,"КУЗЯ наполнитель для кошек впитывающий 4,5л 2,8кг",74.00 руб,шт,1,,,,,,,
,"Натуралист древесный 7л.2,5 кг.",74.00 руб,шт,1,,,,,,,
,НМ для взрослых кошек в асс.400г.,75.00 руб,шт,1,,,,,,,
,НМ для взрослых собак 500г,75.00 руб,шт,1,,,,,,,
,НМ для взрослых собак крупных пород 3кг,386.00 руб,шт,1,,,,,,,
,НМ для взрослых собак мелких пород 500г,71.00 руб,шт,1,,,,,,,
,НМ для взрослых собак средних пород 500г,71.00 руб,шт,1,,,,,,,
,НМ для котят в асс.400г.,75.00 руб,шт,1,,,,,,,
,НМ для кошек в асс.2кг.,395.00 руб,шт,1,,,,,,,
,НМ для привередливых кошек в асс.400г.,75.00 руб,шт,1,,,,,,,
,НМ для стерилизованных кошек в асс.400г.,67.00 руб,шт,1,,,,,,,
,НМ для щенков кр. пород 500г,81.00 руб,шт,1,,,,,,,
,НМ для щенков ср. и мелк. пород 500г,79.00 руб,шт,1,,,,,,,
,Ошейник брезент двойной 45,260.00 руб,шт,1,,,,,,,
,Ошейник брезент одинарный 45,187.00 руб,шт,1,,,,,,,
,ПЕДИГРИ сух.д/собак всех пород говядина 13 кг.,"1,550.00 руб",шт,1,,,,,,,
,ПЕДИГРИ сух.д/собак всех пород говядина 600 кг.,86.00 руб,шт,1,,,,,,,
,ПЕДИГРИ сух.д/собак крупных пород говядина 13 кг.,"1,664.00 руб",шт,1,,,,,,,
,ПЕДИГРИ сух.д/собак малых пород 600 кг.,110.00 руб,шт,1,,,,,,,
,"ПЕДИГРИ сух.д/собак миниатюрных пород говядина 1,2кг.",212.00 руб,шт,1,,,,,,,
,ПЕДИГРИ сух.д/собак миниатюрных пород говядина 190г.,50.00 руб,шт,1,,,,,,,
,"ПЕДИГРИ сух.д/собак миниатюрных пород курица 1,2кг.",212.00 руб,шт,1,,,,,,,
,ПЕДИГРИ сух.д/собак миниатюрных пород курица 190г.,50.00 руб,шт,1,,,,,,,
,ПЕДИГРИ сух.д/собак миниатюрных пород 600 кг.,140.00 руб,шт,1,,,,,,,
,ПЕДИГРИ сух.д/собак щенки 600 кг.,94.00 руб,шт,1,,,,,,,
,Про План д/стерильных кошек 400г.,260.00 руб,шт,1,,,,,,,
,"ПУСИ КЭТ Наполнитель впитывающий 4,5л.2,8кг голубой",84.00 руб,шт,1,,,,,,,
,"ПУСИ КЭТ Наполнитель древесный 4,5л.2,6кг",84.00 руб,шт,1,,,,,,,
,"ПУСИ КЭТ Наполнитель комкующийся 4,5л.3,4кг",94.00 руб,шт,1,,,,,,,
,"ПУСИ КЭТ океанический наполнитель впитывающий 4,5л.2,8кг зеленый",84.00 руб,шт,1,,,,,,,
,РИО  волнистые попугаи линька 500г,79.00 руб,шт,1,,,,,,,
,РИО  волнистые попугаи осногвной 500г,72.00 руб,шт,1,,,,,,,
,РИО  канарейка 500г,93.00 руб,шт,1,,,,,,,
,РИО  средние попугаи линька 500г,89.00 руб,шт,1,,,,,,,
